f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.989229e+01,-1.365694e+01,3.300765e+00,-2.396991e+01,-1.395438e+01,-3.037849e+01
1.562500e-02,1.982563e+01,-5.417037e+00,3.079087e+00,-1.613762e+01,-1.412232e+01,-2.791707e+01
3.125000e-02,1.967618e+01,-1.209649e-01,2.495038e+00,-1.111755e+01,-1.597910e+01,-2.451704e+01
4.687500e-02,1.950944e+01,3.167531e+00,1.488698e+00,-8.356577e+00,-1.878736e+01,-2.297440e+01
6.250000e-02,1.933669e+01,5.425158e+00,5.229912e-02,-6.654035e+00,-2.482092e+01,-2.272247e+01
7.812500e-02,1.916243e+01,7.170405e+00,-2.182328e+00,-5.662887e+00,-2.871027e+01,-2.353928e+01
9.375000e-02,1.900471e+01,8.600817e+00,-5.633786e+00,-5.443084e+00,-2.116343e+01,-2.607073e+01
1.093750e-01,1.880438e+01,9.736327e+00,-1.229398e+01,-5.837479e+00,-1.678174e+01,-3.092740e+01
1.250000e-01,1.862496e+01,1.070234e+01,-1.520191e+01,-7.083665e+00,-1.461749e+01,-3.171034e+01
1.406250e-01,1.842775e+01,1.152207e+01,-6.211793e+00,-9.647758e+00,-1.401831e+01,-2.642948e+01
1.562500e-01,1.824339e+01,1.224167e+01,-1.343321e+00,-1.533491e+01,-1.437260e+01,-2.412464e+01
1.718750e-01,1.802683e+01,1.288084e+01,1.958079e+00,-1.981475e+01,-1.766599e+01,-2.431769e+01
1.875000e-01,1.783725e+01,1.342619e+01,4.491273e+00,-9.005546e+00,-2.767073e+01,-2.770163e+01
2.031250e-01,1.761175e+01,1.391402e+01,6.471276e+00,-3.440538e+00,-1.573667e+01,-2.964895e+01
2.187500e-01,1.738141e+01,1.426079e+01,8.097579e+00,3.551312e-01,-8.630064e+00,-2.015938e+01
2.343750e-01,1.602392e+01,1.353993e+01,8.396948e+00,1.965308e+00,-5.174803e+00,-1.493516e+01
2.500000e-01,1.067013e+01,8.761133e+00,4.366046e+00,-9.757428e-01,-7.260807e+00,-1.500838e+01
2.656250e-01,-1.855064e+00,-3.544055e+00,-7.210122e+00,-1.187506e+01,-1.739917e+01,-2.621787e+01
2.812500e-01,-3.370689e+01,-3.312407e+01,-3.853251e+01,-4.005216e+01,-3.941004e+01,-4.262888e+01
2.968750e-01,-3.899481e+01,-3.746483e+01,-4.176872e+01,-4.344929e+01,-4.283856e+01,-4.598692e+01
3.125000e-01,-4.415103e+01,-4.115799e+01,-4.743051e+01,-4.668635e+01,-4.524791e+01,-4.679442e+01
3.281250e-01,-4.598755e+01,-4.421228e+01,-5.014028e+01,-4.962414e+01,-4.620347e+01,-5.019058e+01
3.437500e-01,-5.171927e+01,-5.109879e+01,-6.999874e+01,-5.660645e+01,-5.034308e+01,-5.385461e+01
3.593750e-01,-5.390102e+01,-5.378121e+01,-6.610339e+01,-5.696896e+01,-5.176304e+01,-5.418996e+01
3.750000e-01,-5.248756e+01,-5.369656e+01,-7.069197e+01,-5.837059e+01,-5.229407e+01,-5.523223e+01
3.906250e-01,-5.920196e+01,-5.940213e+01,-7.182308e+01,-6.379985e+01,-5.507384e+01,-5.721208e+01
4.062500e-01,-5.698534e+01,-5.575406e+01,-6.605651e+01,-7.488030e+01,-5.646382e+01,-5.735585e+01
4.218750e-01,-6.029877e+01,-5.507889e+01,-7.065997e+01,-6.205301e+01,-5.612519e+01,-5.716244e+01
4.375000e-01,-6.212948e+01,-5.729404e+01,-6.389036e+01,-6.674440e+01,-5.932687e+01,-5.889309e+01
4.531250e-01,-5.802777e+01,-5.590991e+01,-6.822534e+01,-6.473339e+01,-5.856396e+01,-5.884810e+01
4.687500e-01,-6.315495e+01,-5.749844e+01,-6.267207e+01,-7.249360e+01,-6.005918e+01,-5.931341e+01
4.843750e-01,-6.332827e+01,-5.850178e+01,-6.603848e+01,-7.059347e+01,-5.924145e+01,-5.788447e+01
5.000000e-01,-6.260882e+01,-5.870371e+01,-6.134409e+01,-1.000410e+02,-7.837381e+01,-6.527052e+01
