f,SNR
1.000000e+00,1.563114e+01
1.333521e+00,1.942739e+01
1.778279e+00,2.500857e+01
2.371374e+00,3.164450e+01
3.162278e+00,3.693843e+01
4.216965e+00,4.171043e+01
5.623413e+00,4.769816e+01
7.498942e+00,5.203456e+01
1.000000e+01,5.200597e+01
1.333521e+01,5.218390e+01
1.778279e+01,5.392258e+01
2.371374e+01,5.449334e+01
3.162278e+01,5.573619e+01
4.216965e+01,5.694040e+01
5.623413e+01,5.745034e+01
7.498942e+01,5.911004e+01
1.000000e+02,5.931960e+01
1.333521e+02,5.794748e+01
1.778279e+02,5.907735e+01
2.371374e+02,5.967419e+01
3.162278e+02,6.037784e+01
4.216965e+02,5.972644e+01
5.623413e+02,5.773151e+01
7.498942e+02,5.906014e+01
1.000000e+03,5.799344e+01
